amount,venue,address,city,state,zip,type
994989.50,"Alaska Center for the Performing Arts, Inc. - SVOG",621 W 6th Avenue ,Anchorage,AK,99501,Live venue operator or promoter
8577.83,Alaska Chamber Singers - SVOG,8240 Sandlewood Pl Ste 201,Anchorage,AK,99508,Live performing arts organization operator
7284.72,Alaska Dance Promotions LLC - SVOG,"300 East Dimond Blvd., Suite 11A ",Anchorage,AK,99507,Live venue operator or promoter
141631.76,"Alaska Junior Theater, Inc. - SVOG",430 W. 7th Ave Ste 30 ,Anchorage,AK,99501,Live performing arts organization operator
74058.02,Alaska Native Heritage Center - SVOG,8800 Heritage Center Drive ,Anchorage,AK,99504,Museum Operator
74834.55,"Alaska Naturally, Incorporated - SVOG",4101 Patricia Lane,Anchorage,AK,99504,Motion picture theater operator
1750608.68,Anchorage Concert Association Inc. - SVOG,430 W. 7th Ave. Ste. 200 ,Anchorage,AK,99501,Live performing arts organization operator
558884.15,Anchorage Museum Association - SVOG,625 C Street ,Anchorage,AK,99501,Museum Operator
81297.43,Anchorage Opera Company - SVOG,1507 Spar Ave ,Anchorage,AK,99501,Live performing arts organization operator
180841.70,Anchorage Symphony Orchestra - SVOG,"400 D Street, Suite 230 ",Anchorage,AK,99501,Live venue operator or promoter
44385.40,Anchorage Youth Symphony Assoc. (dba: Alaska Youth Orchestras) - SVOG,1505 W. 32nd Ave. ,Anchorage,AK,99503,Live performing arts organization operator
81255.15,Cyrano's Theatre Company - SVOG,3800 Debarr Road ,Anchorage,AK,99508,Live performing arts organization operator
1015623.10,"Fish or Cut Bait, LLC - SVOG",609 F Street ,Anchorage,AK,99501,Live venue operator or promoter
26929.83,"Five Star Entertainment, Inc. - SVOG",4061 Westland Dr ,Anchorage,AK,99517,Talent representative
927325.80,Happy Camp LLC - SVOG,2435 Spenard Road ,Anchorage,AK,99503,Live venue operator or promoter
34111.83,Northern Culture Exchange - SVOG,"645 G Street, Suite 100-866 ",Anchorage,AK,99501,Live performing arts organization operator
114416.03,Rodeo Alaska LLC - SVOG,2551 Lyvona Lane ,Anchorage,AK,99502,Live venue operator or promoter
96007.91,Showdown LLC - SVOG,900 E 6th Ave ,Anchorage,AK,99501,Live venue operator or promoter
103743.00,"TBA Theatre, Inc. - SVOG",TBA Theatre 635 W 54th ave,Anchorage,AK,99518,Theatrical producer
58154.85,University of Alaska Anchorage - SVOG,3211 Providence Drive ,Anchorage,AK,99508,Live venue operator or promoter
47505.60,Bethel Council on the Arts - SVOG,PO Box 264 1350 Aurora,Bethel,AK,99559,Live venue operator or promoter
222001.80,Chickenstock Music Festival Inc. - SVOG,Milepost 66 Taylor Highway POB 64,Chicken,AK,99732,Live venue operator or promoter
118004.06,Perseverance Theatre Incorporated - SVOG,914 3rd St ,Douglas,AK,99824,Live performing arts organization operator
84061.32,Fairbanks Concert Association - SVOG,P.O. Box 80547 ,Fairbanks,AK,99708,Live performing arts organization operator
10700.13,Fairbanks Shakespeare Theatre - SVOG,P. O. Box 73447,Fairbanks,AK,99707,Live performing arts organization operator
747882.75,University of Alaska Fairbanks - SVOG,PO Box 755140 ,Fairbanks,AK,99775,Museum Operator
85452.05,American Bald Eagle Foundation - SVOG,"113 Haines Hwy, ",Haines,AK,99827,Museum Operator
169859.00,Homer Theatre LLC - SVOG,106 W Pioneer ,Homer,AK,99603,Motion picture theater operator
31385.70,Gold Town Theater - SVOG,171 Shattuck Way suite 109,Juneau,AK,99801,Motion picture theater operator
1215001.00,"Gross-Alaska, Inc. - SVOG",222 FRONT STREET SUITE 600,Juneau,AK,99801,Motion picture theater operator
35675.44,"Juneau Symphony, Inc. - SVOG",PO BOX 21236 ,Juneau,AK,99802,Live performing arts organization operator
26453.70,"Alaska Children's Institute For the Performing Arts, Inc - SVOG",42715 Kenai Spur Hwy,Kenai,AK,99611,Theatrical producer
97307.00,"Kodiak Baranof Productions, Inc. - SVOG",722 Mill Bay Road Gerald C. Wilson Auditorium,Kodiak,AK,99615,Live performing arts organization operator
12794.16,Kodiak Historical Society - SVOG,101 E Marine Way ,Kodiak,AK,99615,Museum Operator
167181.77,ORPHEUM THEATRE - SVOG,102 CENTER AVE ,Kodiak,AK,99615,Motion picture theater operator
682632.35,"Alaska Arts Southeast, Inc. - SVOG",110 College Drive Suite 111,Sitka,AK,99835,Live performing arts organization operator
162536.05,"Gold Rush Productions, Inc. - SVOG",PO Box 215,Skagway,AK,99840,Theatrical producer
315684.85,"360 Entertainment, LLC - SVOG",PO Box 3610 35493 KB Dr,Soldotna,AK,99669,Motion picture theater operator
28800.91,Denali Arts Council - SVOG,22249 S D Street ,Talkeetna,AK,99676,Live venue operator or promoter
186650.00,Valley Performing Arts - SVOG,251 West Swanson Avenue ,Wasilla,AK,99654,Live venue operator or promoter
42527.50,"enJOY entertainment, LLC - SVOG",142 Park Place Cir ,Alabaster,AL,35007,Live venue operator or promoter
182386.56,City of Anniston - Anniston Museums and Gardens - SVOG,4309 McClellan Blvd ,Anniston,AL,36206,Museum Operator
326121.50,Cinemagic Theatre LLC - SVOG,1702 S Jefferson Street,Athens,AL,35611,Motion picture theater operator
630221.14,Events at OWA LLC - SVOG,100 Brookwood Road ,Atmore,AL,36502,Live venue operator or promoter
26405.00,FAGEL ONEAL EL - SVOG,1655 S. COLLEGE STREET D,Auburn,AL,36832,Live venue operator or promoter
1969328.75,"Fourth Quarter, Inc. - SVOG",136 W Magnolia Ave ,Auburn,AL,36830,Live venue operator or promoter
904139.59,Jay and Susie Gogue Performing Art Center at Auburn University - SVOG,910 South College Street ,Auburn,AL,36849,Live venue operator or promoter
89326.35,Jule Collins Smith Museum of Fine Art at Auburn University - SVOG,901 South College ,Auburn,AL,36849,Museum Operator
33440.76,Arlington Historic House - SVOG,331 Cotton Avenue SW,Birmingham,AL,35203,Museum Operator
683056.90,"Avondale Brewing Company, LLC - SVOG",201 41st Street South ,Birmingham,al,35222,Live venue operator or promoter
1889573.75,Barber Vintage Motorsports Museum - SVOG,6030 Barber Motorsports Parkway ,Birmingham,AL,35094,Museum Operator
284349.02,Birmingham Children's Theatre - SVOG,PO Box 1362 ,Birmingham,AL,35201,Live performing arts organization operator
215338.24,Birmingham Civil Rights Institute - SVOG,520 16th St North ,Birmingham,AL,35203,Museum Operator
17646.02,Birmingham Festival Theatre - SVOG,P.O. Box 55321 ,Birmingham,AL,35205,Theatrical producer
1142822.90,"Birmingham Landmarks, Inc. - SVOG",1817 3rd Avenue North ,Birmingham,AL,35203,Live performing arts organization operator
2290087.29,"Birmingham Zoo, Inc. - SVOG",2630 Cahaba Road ,Birmingham,AL,35223,Museum Operator
337229.01,Code-R Productions - SVOG,118 Overbrook Road ,Birmingham,AL,35213,Live venue operator or promoter
78035.08,Definitive Productions LLC - SVOG,2201 1st Avenue North ,Birmingham,AL,35203,Talent representative
267680.70,Empowerment Incorporated - SVOG,118 Huntingdon Place ,Birmingham,al,35242,Live venue operator or promoter
68201.04,Fiesta 2003 - SVOG,3424 Water Oak Drive ,Birmingham,AL,35243,Live performing arts organization operator
1675104.90,"Iron City Live, Inc. - SVOG",513 22nd Street South,Birmingham,AL,35233,Live venue operator or promoter
947987.95,"JROK, Inc. - SVOG",4 Dexter Avenue ,Birmingham,AL,35213,Live venue operator or promoter
1358938.05,McWane Science Center - SVOG,"200 19th Street, North",Birmingham,AL,35203,Museum Operator
271925.14,Metropolitan Arts Center - SVOG,1116 South 26th Street ,Birmingham,AL,35205,Live venue operator or promoter
227541.98,Mr Nick INC - SVOG,2514 10th Avenue South ,Birmingham,AL,35205,Live venue operator or promoter
133192.22,Reaction Presents LLC - SVOG,1729 Cullum Street South Apt E,Birmingham,AL,35205,Live venue operator or promoter
643502.75,Red Mountain Theatre Company Inc. - SVOG,1600 3rd Ave South ,Birmingham,AL,35233,Theatrical producer
597625.99,Saturn Music LLC - SVOG,200 41st St. S. ,Birmingham,AL,35222,Live venue operator or promoter
297146.65,Sidewalk Film Center and Cinema - SVOG,1821 2nd Ave. N. ,Birmingham,AL,35203,Motion picture theater operator
272700.60,"State of Alabama Ballet, Inc - SVOG",2726 1st Ave South,Birmingham,AL,35233,Live performing arts organization operator
5400.00,Studio 2500 Incorporated - SVOG,2500 26th Avenue North ,Birmingham,AL,35234,Live performing arts organization operator
59221.51,Terrific New Theatre - SVOG,PO Box 130368 ,Birmingham,AL,35213,Live performing arts organization operator
1567490.55,"The Comedy Club, Inc - SVOG",1818 DATA DRIVE ,Birmingham,AL,35244,Live venue operator or promoter
789391.80,University of Alabama at Birmingham - SVOG,1200 10th Ave South ,Birmingham,AL,35205,Live venue operator or promoter
219872.15,"Williams Brothers Music Hall, LLC - SVOG",500 23rd street south ,Birmingham,AL,35233,Live venue operator or promoter
166000.00,Boaz9cinema LLC - SVOG,215 south mcclesky street ,Boaz,AL,35957,Motion picture theater operator
19994.40,David Clark - SVOG,523 Buchanan Dr ,Dauphin Island,AL,36528,Talent representative
125814.86,Princess Theatre Center for the Performing Arts - SVOG,112 2nd AVE NE ,Decatur,AL,35601,Live performing arts organization operator
40000.00,Pyramid Gang Entertainment - SVOG,1219 Moulton ST SE ,Decatur,AL,35601,Talent representative
14213.70,Space night club of dothan - SVOG,4129 ross clark circle ,Dothan,AL,36303,Live venue operator or promoter
1752555.88,"Clark Theatres, Inc. - SVOG",100 New Centre Drive ,Enterprise,AL,36330,Motion picture theater operator
120261.35,"Southern Broadway Theater Company, LLC - SVOG",104 North Main Street ,Enterprise,AL,36330,Theatrical producer
138516.98,Community Theatre Inc - SVOG,123 N Seminary Street ,Florence,AL,35630,Live venue operator or promoter
66195.90,Shoals Symphony Orchestra - SVOG,409 N. Court St. Suite 100,Florence,AL,35630,Live performing arts organization operator
280571.40,"Fort Payne Cinemas, LLC - SVOG",2715 Gault Ave. North,Fort Payne,AL,35967,Motion picture theater operator
284967.23,Edge Cinema LLC - SVOG,601 Paul Stabler Drive ,Greenville,AL,36037,Motion picture theater operator
251442.55,HO-MF LLC - SVOG,101 E BEACH BLVD ,Gulf Shores,AL,36542,Live venue operator or promoter
121718.72,"Ainsworth Shows, LLC - SVOG",7520 Browns Valley Road,Guntersville,AL,35976,Live venue operator or promoter
14098.95,"Gifted Hands Entertainment, LLC - SVOG",2069 Cherry Avenue Suite 200,Hueytown,AL,35023,Live venue operator or promoter
160025.90,Fantasy Playhouse Children's Theater - SVOG,3312 Long Avenue SW ,Hunstville,AL,35805,Live performing arts organization operator
462252.36,Alabama Constitution Village Huntsville Historical Depot d/b/a EarlyWo - SVOG,404 Madison St ,Huntsville,AL,35801,Museum Operator
996231.28,"Big Spring Entertainment, LLC - SVOG","305 Church Street, Suite 715 ",Huntsville,AL,35801,Talent representative
1077682.95,Broadway Theatre League of Huntsville Inc - SVOG,700 Monroe St Suite 410,Huntsville,AL,35801,Live performing arts organization operator
5807003.69,"Huntsville, City of d/b/a Von Braun Civic Center - SVOG",700 Monroe Street ,Huntsville,AL,35801,Live venue operator or promoter
1002289.50,Launch-Pad Comedy Theatre LLC - SVOG,2012 Memorial Pkwy SW ,Huntsville,AL,35801,Live venue operator or promoter
95383.66,"Merrimack Academy for the Performing Arts, Inc - SVOG",3320 Triana Boulevard SW ,Huntsville,AL,35805,Live performing arts organization operator
10375.66,Natural Models AL - SVOG,2529 Garden park drive nw ,Huntsville,AL,35810,Talent representative
12487.50,Shenanigans Comedy Theatre - SVOG,"2650 Leeman Ferry Rd., Suite A ",Huntsville,AL,35801,Live venue operator or promoter
82590.65,Theatre Huntsville - SVOG,2211 Seminole Dr SW Studio 263/265,Huntsville,AL,35805,Live performing arts organization operator
7101.90,"Valley Arts and Entertainment, INC. - SVOG","2201 Clinton Ave W, Suite F ",Huntsville,AL,35805,Live performing arts organization operator
311840.21,Post Panda Promotions dab Big Friendly Entertainment - SVOG,2981 Grants Mill Road Suite 121,Leeds,AL,35094,Talent representative
1903576.05,Rainbow Cinemas LLC - SVOG,2100 Hughes Rd ,Madison,AL,35758,Motion picture theater operator
983487.00,City of Mobile - SVOG,P.O. Box 1827 205 Government Street,Mobile,AL,36633,Live venue operator or promoter
131873.19,Crescent Theater - SVOG,208 Dauphin St. ,Mobile,AL,36602,Motion picture theater operator
621609.69,"Dog Dreams, LLC - SVOG",219 Dauphin Street ,Mobile,AL,36602,Live venue operator or promoter
379493.04,"Mobile Ballet, Inc. - SVOG",4351 Downtowner Loop North ,Mobile,AL,36609,Live performing arts organization operator
648573.20,"Nexus Cinema Dining, LLC - SVOG",7070 Bruns Dr ,Mobile,AL,36695,Motion picture theater operator
92650.05,"PEEC OF MOBILE, INC - SVOG",1725 Northview Drive ,Mobile,AL,36618,Live venue operator or promoter
317616.95,"Perdido Queen Cruises, LLC - SVOG",1 S WATER ST,Mobile,AL,36602,Live venue operator or promoter
110831.53,Schwathews Mathwall LLP - SVOG,12 S Conception Street,Mobile,AL,36604,Live venue operator or promoter
65163.15,"Selwonk Enterprises, Inc - SVOG",505 Bay Shore St. ,Mobile,AL,36607,Live venue operator or promoter
6075.00,Susannah Murphy - SVOG,5413 Hilltop Dr S ,Mobile,AL,36608,Theatrical producer
338648.05,The Explore Center Inc. - SVOG,P.O. Box 1968 ,Mobile,AL,36633,Museum Operator
2558608.20,USS ALABAMA Battleship Commission d/b/a USS ALABAMA Battleship Memoria - SVOG,2703 Battleship Parkway,Mobile,AL,36602,Museum Operator
1180245.56,Alabama Shakespeare Festival - SVOG,1 Festival Drive ,Montgomery,AL,36117,Live performing arts organization operator
87431.75,"Capri Community Film Society, Inc - SVOG",1045 E Fairview Ave ,Montgomery,AL,36106,Motion picture theater operator
1199671.26,City of Montgomery - SVOG,103 N Perry Street ,Montgomery,AL,36104,Museum Operator
90552.25,Montgomery Museum of Fine Arts Association - SVOG,One Museum Drive ,Montgomery,AL,36117,Museum Operator
247535.11,The Landmarks Foundation of Montgomery Inc. - SVOG,301 Columbus St. ,Montgomery,AL,36104,Museum Operator
431345.00,Turnipblood Entertainment LLC - SVOG,1320 Lurleen B Wallace Blvd ,Northport,AL,35476,Talent representative
40824.46,Tuscaloosa Children's Theatre Inc - SVOG,3700 Northbrook Drive Unit #15 ,Northport,AL,35473,Live performing arts organization operator
14088.00,Mustang Museum of America - SVOG,49 Forman Farm Road ,Odenville,AL,35120,Museum Operator
310318.20,"Hustle Squad Entertainment, LLC - SVOG",2320 Old Columbus RD ,Opelika,AL,36804,Live venue operator or promoter
87334.20,"The Arts Association of East Alabama, Inc. - SVOG",1103 Glenn Street ,Opelika,AL,36801,Live performing arts organization operator
35380.00,The Sound Wall LLC - SVOG,605 Ave B ,Opelika,AL,36801,Live venue operator or promoter
539420.52,City of Oxford - SVOG,145 Hamrick Drive East,Oxford,AL,36203,Live venue operator or promoter
50332.95,"Harlow, Inc dba Live@Harlow's - SVOG",190 West Reynolds St PO BOX 2428,Ozark,AL,36360,Live venue operator or promoter
392000.96,"Lucas Cinemas, LLC - SVOG",2204 St. Andrews Way ,Phenix City,AL,36867,Motion picture theater operator
6996.08,"Dorm Eleven, LLC - SVOG",414 North Montgomery Ave,Sheffield,AL,35660,Live venue operator or promoter
473999.04,Valley Investments llc - SVOG,P.O. Box 190 100 Bradford Road,Springville,AL,35146,Live venue operator or promoter
20871.90,Blooms 4 You - SVOG,14171 Dragoon Ct ,Summerdale,AL,36580,Live venue operator or promoter
254847.32,Troy University - SVOG,600 University Avenue 247 Adams Administraion,Troy,AL,36082,Museum Operator
141608.15,"Arts and Humanities Council of Tuscaloosa County, Inc. - SVOG",600 Greensboro Ave. ,Tuscaloosa,AL,35401,Live performing arts organization operator
2201064.75,"City of Tuscaloosa, Alabama - SVOG",2201 University Blvd ,Tuscaloosa,AL,35401,Live venue operator or promoter
96363.22,Theatre Tuscaloosa Inc - SVOG,9500 Old Greensboro Rd #135,Tuscaloosa,AL,35405,Theatrical producer
45965.82,"Tennessee Valley Art Association, Inc - SVOG",511 N Water Street ,Tuscumbia,AL,35674,Live performing arts organization operator
1800.00,Titanium Music Productions Group - SVOG,20 Sandy Springs Drive ,Wetumpka,AL,36092,Talent representative
17482.16,The Pastime Theatre - SVOG,1052 US HWY 43 PO Box 766,Winfield,AL,35594,Live performing arts organization operator
66853.97,"Alma Education and Arts Foundation, Inc. - SVOG",P. O. Box 2359 103 E. Main Street,Alma,AR,72921,Live performing arts organization operator
152253.35,"Melba Group, LLC - SVOG",115 West Main Street ,Batesville,AR,72501,Motion picture theater operator
278349.00,Oaks Cinema 7 LLC - SVOG,2250 Harrison St ,Batesville,AR,72501,Motion picture theater operator
77674.21,"Royal Players, Inc. - SVOG",111 S. Market Street P. O. Box 1743,Benton,AR,72015,Live performing arts organization operator
41215.25,Civic Symphony of Benton County Guild - SVOG,PO Box 1723 ,Bentonville,AR,72712,Live performing arts organization operator
164945.25,Clark Theatrical Productions DBA Main Theatre - SVOG,207-209 South Main St. ,Berryville,AR,72616,Motion picture theater operator
27066.60,Jerry Williams - SVOG,9171 Highway 49B N ,Brookland,AR,72417,Live venue operator or promoter
1165492.20,"Silver Screen Cabot, LLC - SVOG",100 Cinema Blvd ,Cabot,AR,72023,Motion picture theater operator
113550.00,At The Movie Show LLC - SVOG,2424 Clark Rd ,Clarksville,AR,72830,Motion picture theater operator
54006.42,Gateway Twin Cinema - SVOG,3008 Hwy 65 South ,Clinton,AR,72031,Motion picture theater operator
9900.45,Rock Pit Ranch - SVOG,6746 Hwy 16 E ,Clinton,AR,72031,Live venue operator or promoter
9738047.00,Awakening Events Inc - SVOG,3790 Lazy Creek Trail ,Conway,AR,72032,Live venue operator or promoter
220224.93,Reynolds Performance Hall at University of Central Arkansas - SVOG,201 Donaghey Avenue ,Conway,AR,72035,Live performing arts organization operator
340374.75,"El Dorado Festivals & Events, Inc. - SVOG",101 E. Locust ,El Dorado,AR,71730,Live venue operator or promoter
717866.95,Stars Motion Pictures Corp. - SVOG,"PO Box 10010 2620 W Hillsboro St, ",El Dorado,AR,71730,Motion picture theater operator
481108.27,Elna M. Smith Foundation - SVOG,935 Passion Play Rd ,Eureka Springs,AR,72632,Theatrical producer
72845.90,Inspiration Point Fine Arts Colony - SVOG,16311 Highway 62 W ,Eureka Springs,AR,72632,Live performing arts organization operator
158960.27,Folk School of Fayetteville - SVOG,1 E Mountain ,Fayetteville,AR,72701,Live venue operator or promoter
76913.66,"Six Twelve Coffeehouse & Bar, LLC - SVOG",3980 W Wedington Dr Suite 19,Fayetteville,AR,72704,Live venue operator or promoter
144377.63,Symphony of Northwest Arkansas - SVOG,P.O. Box 1243 ,Fayetteville,AR,72702,Live performing arts organization operator
1347578.45,"The Crowne Group, LLC - SVOG",519 W Dickson Street ,Fayetteville,AR,72701,Live venue operator or promoter
350094.61,"Theatre Squared, Inc - SVOG",477 W Spring St ,Fayetteville,AR,72701,Theatrical producer
123882.81,Thomas-York Inc - SVOG,2101 N. Green Acres Rd. STE 2 ,Fayetteville,AR,72703,Talent representative
9864805.05,"Walton Arts Center Council, Inc. - SVOG",PO Box 3547 255 N School Ave,Fayetteville,AR,72702,Live venue operator or promoter
25171.20,Fort Smith Art Center Inc. - SVOG,1601 Rogers Avenue,Fort Smith,AR,72901,Museum Operator
606935.70,"TempleLive, LLC - SVOG",200 North 11 Street ,Fort Smith,AR,72901,Live venue operator or promoter
51257.55,Gypsies L.L.C. - SVOG,7 Springhill dr ,Greenbrier,AR,72058,Live performing arts organization operator
108341.73,HIGHLAND TWIN CINEMA LLC - SVOG,PO Box 43 ,Hardy,AR,72542,Motion picture theater operator
58864.63,Ozark Arts Council - SVOG,115 W. Rush Ave ,Harrison,AR,72601,Live performing arts organization operator
96019.25,Gem Theatre - SVOG,117/119 West Main Street ,Heber Springs,AR,72543,Motion picture theater operator
345977.35,SONNY BOY BLUES SOCIETY - SVOG,319 Phillips St ,Helena-West Helena,AR,72342,Live performing arts organization operator
196761.59,"Devine and Associates, LLC - SVOG",142 Cougar Terrace ,Hot Springs,AR,71913,Live venue operator or promoter
783929.00,Hot Springs Mall Cinema LLC - SVOG,4501 Central Ave ,Hot Springs,AR,71913,Motion picture theater operator
37273.20,"Low Key Arts, Inc. - SVOG",118 ARBOR STREET ,Hot Springs,AR,71901,Live venue operator or promoter
429140.14,Mid-America Science Museum - SVOG,500 Mid America Blvd. ,Hot Springs,AR,71913,Museum Operator
211036.44,"Theatre of Magic, Inc - SVOG",817 Central Ave ,Hot Springs,AR,71901,Live venue operator or promoter
15117.48,Delta Symphony Orchestra - SVOG,P.O. Box 19117 920 Gee Street,Jonesboro,AR,72403,Live performing arts organization operator
868772.35,Arkansas Repertory Theatre - SVOG,P.O. Box 110 ,Little Rock,AR,72203,Theatrical producer
432197.79,"Arkansas Symphony Orchestra Society, Inc. - SVOG",2417 N Tyler St ,Little Rock,AR,72207,Live performing arts organization operator
157426.70,"Ballet Arkansas, Inc. - SVOG",520 Main Street ,Little Rock,AR,72201,Live performing arts organization operator
43968.21,Brandon House Cultural & Performing Arts Center - SVOG,"3802 West 12th Street P O Box 466 Little Rock, AR 72203",Little Rock,AR,72204,Live performing arts organization operator
1520683.19,City of Little Rock - SVOG,500 West Markham Street ,Little Rock,AR,72201,Museum Operator
60330.80,"Club Sway, Inc. - SVOG",412 Louisiana St.,Little Rock,AR,72206,Live venue operator or promoter
977692.50,DWB LLC - SVOG,302 President Clinton ,Little Rock,AR,72201,Live venue operator or promoter
11681.60,Flux Fesitvals LLC - SVOG,PO Box 55045,Little Rock,AR,72215,Live venue operator or promoter
69057.00,HOGS BREATH GRILL LLC - SVOG,9500 INTERSTATE 30 ,Little Rock,AR,72209,Live venue operator or promoter
236361.61,"Loony Bin of Little Rock, LLC - SVOG",10301 N RODNEY PARHAM RD C12-14 ,Little Rock,AR,72227,Live venue operator or promoter
693634.83,murry's dinner playhouse inc. - SVOG,6323 colonel glenn ,Little Rock,AR,72204,Live performing arts organization operator
354107.70,Museum of Discovery - SVOG,"500 President Clinton Ave, Ste 150. Little Rock, AR 72201 ",Little Rock,AR,72201,Museum Operator
33229.25,"Opera in the Rock, Inc. - SVOG",1818 N Taylor St #413 ,Little Rock,AR,72207,Live performing arts organization operator
363398.85,"Revolution Entertainment Group, LLC - SVOG",300 President Clinton Ave ,Little Rock,AR,72201,Live venue operator or promoter
127800.97,"Wildwood Park for the Arts, Inc - SVOG",20919 Denny Road ,Little Rock,AR,72223,Live performing arts organization operator
223706.04,Adams Ventures - SVOG,808 S Bloomington ,Lowell,AR,72745,Live venue operator or promoter
89340.00,"North Plaza Entertainment, Inc. - SVOG",P.O.Box 848 ,Morrilton,AR,72110,Motion picture theater operator
736185.79,"Sun Valley Cinemas, Inc. - SVOG",1032 Hwy. 62 East,Mountain Home,AR,72653,Motion picture theater operator
89552.05,Argenta Community Theater - SVOG,P. O. Box 5607,North Little Rock,AR,72119,Live performing arts organization operator
4856.34,Bearden Production Company - SVOG,115 East Broadway (Online Performances) ,North Little Rock,AR,72114,Live performing arts organization operator
64534.86,Maumelle Event Center - SVOG,10910 Maumelle Blvd ,North Little Rock,AR,72113,Live venue operator or promoter
3676806.10,"Pulaski County Multi-Purpose Civic Center Facilities Board, d/b/a Simm - SVOG",1 Simmons Bank Arena Dr ,North Little Rock,AR,72114,Live venue operator or promoter
118758.08,"THE JOINT ARGENTA, INC - SVOG",301 MAIN STE. 102,North Little Rock,AR,72114,Live venue operator or promoter
821018.85,"Arkansas Cinemas, LLC - SVOG",2707 West Kingshighway ,Paragould,AR,72450,Motion picture theater operator
869610.82,Pine Bluff Civic Auditorium Complex Commission - SVOG,1 Convention Center Plaza ,Pine Bluff,AR,71601,Live venue operator or promoter
35957.51,Rain Investments LLC - SVOG,2901 Pines Mall Dr. Suite 500,Pine Bluff,AR,71601,Motion picture theater operator
28651.95,Studio For the Arts Inc. - SVOG,1401 Hwy 304 East ,Pocahontas,AR,72455,Live venue operator or promoter
116061.50,Rogers Little Theater - SVOG,116 S. Second St ,Rogers,AR,72756,Live performing arts organization operator
679143.00,Searcy Cinema Inc - SVOG,2933 E Race Ave ,Searcy,AR,72143,Motion picture theater operator
339559.20,SPRINGDALE CIVIC CENTER LLC - SVOG,2323 S OLD MISSOURI RD STE D,Springdale,AR,72764,Live venue operator or promoter
3928.31,GrandPrairieArtsCouncil/Art Center of the Grand Prairie - SVOG,108 W 12th ,Stuttgart,AR,72160,Museum Operator
28748.65,Texarkana Symphony Orchestra - SVOG,421 Hickory Street ,Texarkana,AR,71854,Live performing arts organization operator
284049.00,Entertainment Events Inc - SVOG,1908 W EASTMAN CT ,Anthem,AZ,85086,Theatrical producer
81605.80,"Musical Theatre of Anthem, Inc. - SVOG",42201 N 41st Dr Ste B100 ,Anthem,AZ,85086,Live venue operator or promoter
112365.85,"TopWater, LLC - SVOG",24445 W. Sunrise Dr. ,Buckeye,AZ,85326,Live venue operator or promoter
236365.95,Liverpool Productions LLC - SVOG,PO Box 5523 ,Carefree,AZ,85377,Talent representative
10187.79,Mildred D. Robinson - SVOG,420 N. Florence St.,Casa Grande,AZ,85122,Live performing arts organization operator
2612678.40,Alamo Chandler LLC - SVOG,4955 S Arizona Ave ,Chandler,AZ,85249,Motion picture theater operator
868665.91,Chandler Cultural Foundation - SVOG,250 North Arizona Avenue ,Chandler,AZ,85225,Live performing arts organization operator
40552.42,"ImprovMANIA Entertainment, LLC - SVOG",250 S ARIZONA AVE Suite 3,Chandler,AZ,85225,Live venue operator or promoter
185669.93,White Label Agency LLC - SVOG,3281 S Vine St ,Chandler,AZ,85248,Talent representative
523266.02,"Mabery Ranch Company, LLC dba: Blazin' M Ranch - SVOG",1875 Mabery Ranch Road P.O. Box 160,Cottonwood,AZ,86326,Live venue operator or promoter
19099.75,Flagstaff Symphony Association - SVOG,113-A E. Aspen Ave,Flagstaff,AZ,86001,Live performing arts organization operator
148916.70,Greenhouse Productions LLC - SVOG,33 LAKOTA ,Flagstaff,AZ,86005,Live venue operator or promoter
108099.00,Hullabaloo Festivals LLC - SVOG,33 LAKOTA,Flagstaff,AZ,86005,Live venue operator or promoter
208317.06,"Peak Events, LLC - SVOG",4091 N. Pipit Pl. ,Flagstaff,AZ,86004,Live venue operator or promoter
52240.00,"Red & Black Productions, llc. - SVOG",773 N CANYON TERRACE DR ,Flagstaff,AZ,86001,Live venue operator or promoter
383720.08,The Orpheum Presents LLC - SVOG,15 W Aspen Ave ,Flagstaff,AZ,86001,Live venue operator or promoter
68594.45,Theatrikos Theatre Company - SVOG,11 W Cherry ,Flagstaff,AZ,86001,Theatrical producer
161831.93,"Fountain Hills Theater, Inc. - SVOG",11445 N. Saguaro Blvd ,Fountain Hills,AZ,85268,Live performing arts organization operator
1211678.50,Recapturing Americana LLC - SVOG,16817 E. Nicklaus Drive ,Fountain Hills,AZ,85268,Theatrical producer
3856608.00,Alamo Gilbert LLC - SVOG,5478 S Power Rd,Gilbert,AZ,85295,Motion picture theater operator
160488.00,Chill Lifestyles Inc - SVOG,2743 S. Market St Suite 110,Gilbert,AZ,85296,Live venue operator or promoter
910915.20,Foundation for Traditional Culture Inc - SVOG,1387 E. ASPEN AVENUE,Gilbert,AZ,85234,Theatrical producer
1800131.38,"Hale Centre Theatre - Arizona, LLC - SVOG",50 West Page Avenue ,Gilbert,AZ,85233,Live performing arts organization operator
38015.59,Absolut Bartending - SVOG,4346 W Olive Ave,Glendale,AZ,85302,Live venue operator or promoter
24652.35,Brian Maticic - SVOG,7154 N 58th Drive ,Glendale,AZ,85301,Live venue operator or promoter
415126.80,Hollis Business Enterprises Inc. - SVOG,161 North Broad St. P. O. Box 70,Globe,AZ,85501,Motion picture theater operator
287378.00,"PRO EVENTS, LLC - SVOG",2321 N 156th Dr,Goodyear,AZ,85395,Live venue operator or promoter
