amount,venue,address,city,state,zip,type
92919.60,"Siudy Flamenco Dance Theater, Inc. - SVOG",817 NE 125th Street ,North Miami,FL,33181,Live performing arts organization operator
10299.71,Champion Mindset Media Group - SVOG,1891 N.E. 164th Street ,North Miami Beach,FL,33162,Live venue operator or promoter
16304.79,Montgomery Drive LLC - SVOG,16105 NE 18th Ave,North Miami Beach,FL,32812,Live venue operator or promoter
12150.00,"Palm Beach Institute for the Entertainment Arts, Inc. - SVOG",115 U.S. Highway One ,North Palm Beach,FL,33408,Live performing arts organization operator
30453.30,"Community Broadband Radio Association, Inc. - SVOG",12737 Tamiami Trail,North Port,FL,34287,Live venue operator or promoter
88508.70,"Drum Cafe Southeast, Inc - SVOG",4401 NE 15th Terrace,Oakland Park,FL,33334,Live performing arts organization operator
703356.20,"Ocala Symphony Orchestra, Inc. - SVOG",500 NE 9th St. ,Ocala,FL,34470,Live venue operator or promoter
350696.90,"The Marion Players Inc., dba Ocala Civic Theatre - SVOG",4337 E Silver Springs Blvd ,Ocala,FL,34470,Live performing arts organization operator
31831.35,Dragonfly Studio & Productions LLC - SVOG,133 W Mckey St ,Ocoee,FL,34761,Live venue operator or promoter
703274.20,"Siroc, Inc. - SVOG",1575 Maguire Road ,Ocoee,FL,34761,Motion picture theater operator
542000.00,"D. Bailey Management, Inc. - SVOG",17815 Gunn Hwy. Suite #5 ,Odessa,FL,33556,Talent representative
8952.63,"Pure Talent Agency, LLC - SVOG",1813 Greenwood Drive,Oldsmar,FL,34677,Talent representative
337374.12,1000 HANDS TOUR LLC - SVOG,8079 CONROY ROAD ,Orlando,FL,32835,Live performing arts organization operator
1229986.52,4654 NOA LLC - SVOG,54 N ORANGE AVENUE ,Orlando,FL,32801,Live venue operator or promoter
234090.47,"Alliance Events & Nightlife, LLC - SVOG",1635 E Amelia St ,Orlando,FL,32803,Live venue operator or promoter
